identification_type,site,gender,age,marital_status,number_of_children,blood_type,rh_blood,department,city,stratum,depend_people,hear_about_us,have_acquaintances,have_family_contact_center,referral_external,have_transportation,education_level,profession,learn_english,worked_before_call_center,risky_employee
5,0,1,34,5,0,2,1,66,1,4,0,0,0,0,0,0,4,0,3,1,1
5,0,0,24,5,0,2,1,66,1,1,0,1,0,0,0,0,4,0,4,0,1
5,0,1,31,5,0,3,1,66,1,0,0,3,0,0,0,0,2,0,2,0,0
5,0,0,29,5,0,3,1,66,1,0,0,3,0,0,0,1,2,0,4,0,0
5,0,0,25,5,0,2,1,66,1,3,0,3,0,0,0,0,4,0,3,0,1
5,0,1,33,5,0,2,1,66,1,3,0,3,0,0,0,0,4,0,1,0,1
5,0,1,40,3,0,3,1,66,1,4,0,3,0,0,1,1,4,0,0,0,1
5,0,1,26,5,0,3,1,66,3,3,0,3,0,0,0,0,4,0,0,1,0
5,0,1,31,5,0,3,1,66,1,0,0,3,0,0,0,0,4,0,4,1,1
5,0,1,30,5,0,0,0,66,3,3,0,3,0,0,1,1,4,0,0,1,0
5,0,1,30,5,0,2,1,66,3,2,0,3,0,0,0,0,1,0,1,0,1
5,0,1,25,5,0,3,1,66,1,0,0,3,0,0,0,0,4,0,2,0,1
5,0,0,26,5,0,3,1,66,1,4,0,3,0,0,0,1,4,0,2,1,0
5,0,1,41,4,2,2,1,66,1,0,0,3,0,0,0,0,3,0,4,0,0
5,0,1,32,5,0,3,1,66,1,4,0,3,0,0,0,1,0,0,4,0,1
5,0,0,32,5,1,2,1,66,1,2,0,3,0,0,0,0,4,0,0,0,0
5,0,0,29,5,0,2,1,66,3,2,0,2,0,0,0,0,3,0,2,0,0
5,0,0,26,5,0,2,1,19,3,0,0,1,0,0,0,0,4,0,4,0,1
5,0,1,29,5,0,2,1,66,1,0,0,3,0,0,0,0,4,0,4,1,0
5,0,1,33,5,0,2,1,76,3,0,0,3,0,0,0,0,3,0,1,0,1
5,0,1,30,3,1,3,1,66,1,3,3,3,1,0,0,0,4,0,1,0,0
5,0,0,30,4,0,3,1,66,1,5,0,3,0,0,0,0,3,0,2,0,1
5,0,1,24,5,0,1,1,66,1,0,0,3,0,0,0,0,4,0,2,0,1
5,0,1,31,5,0,3,1,66,1,0,0,2,0,0,0,0,4,0,1,0,1
5,0,0,25,5,0,3,1,66,3,0,0,3,0,0,0,0,3,0,4,1,1
5,0,1,25,5,0,2,1,66,1,3,1,1,0,0,0,1,4,1,4,0,0
5,0,0,37,5,0,3,1,66,1,0,0,4,0,0,0,0,3,0,1,0,1
5,0,1,27,3,0,3,1,66,3,2,0,3,0,0,0,0,3,0,4,0,0
5,0,0,25,5,0,3,1,66,1,3,0,1,0,0,0,1,2,0,2,0,1
5,0,0,30,5,0,2,1,66,1,5,0,3,0,0,0,0,2,0,2,0,1
5,0,0,24,5,0,3,1,66,1,4,0,3,0,0,0,0,3,0,2,0,0
5,0,1,24,5,0,3,1,66,1,3,0,3,0,0,0,0,4,0,2,0,0
